LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price(HK$),Ext.Price(HK$),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C2887276,RVT100UF16V67RV0016,KNSCHA,-,"SMD,D6.3xL5.4mm",100uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105℃,YES,20,0.0276,0.55,2026-04-17,,
C431533,DC005,SHOU HAN,-,Through Hole,"Power Barrel Connector Jack 2mm ID 6.3mm OD Through Hole, Right Angle",YES,10,0.0511,0.51,2026-04-17,,
C492404,PZ254V-11-05P,XFCN,-,"Through Hole,P=2.54mm",Pin Header 5 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,YES,20,0.0309,0.62,2026-04-17,,
C475918,FXL1040-330-M,cjiang,-,"SMD,11.5x10mm","4.4A 33uH 5A 92mΩ Molded Inductor ±20% SMD,11.5x10mm Fixed Inductors RoHS",YES,5,0.3926,1.96,2026-04-17,,
C2286,KT-0603R,Hubei KENTO Elec,-,0603,Red 645nm LED Indication - Discrete 2.4V 0603,YES,100,0.0066,0.66,2026-04-17,,
C21190,0603WAF1001T5E,UNI-ROYAL,-,0603,1kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0015,0.15,2026-04-17,,
C720477,TS-1088-AR02016,XUNPU,-,"SMD,4x3mm",Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,YES,10,0.0553,0.55,2026-04-17,,
C529579,ESP32-WROOM-32U-N8,ESPRESSIF,-,"SMD,19.2x18mm","2.4GHz ESP32-DOWD -97dBm SMD,19.2x18mm RF Transceiver Modules and Modems RoHS",YES,1,5.1288,5.13,2026-04-17,,
C6186,AMS1117-3.3,Advanced Monolithic Systems,-,SOT-223,"3.3V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,5,0.2257,1.13,2026-04-17,,
C347421,LM2596S-5.0(UMW),UMW,-,TO-263-5,150kHz Buck Fixed 5V 3A TO-263-5 Voltage Regulators - DC DC Switching Regulators RoHS,YES,1,0.5921,0.59,2026-04-17,,
C493293,HT42B534-2,HOLTEK,-,SOP-10-150mil,USB to UART 3Mbps USB 2.0 SOP-10-150mil Interface Controllers RoHS,YES,1,0.6241,0.62,2026-04-17,,
C165948,TYPE-C-31-M-12,Korean Hroparts Elec,-,SMD,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,YES,5,0.1702,0.85,2026-04-17,,
C22935,0603WAF1004T5E,UNI-ROYAL,-,0603,1MΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0014,0.14,2026-04-17,,
C7420365,SS34,R+O,-,SMA(DO-214AC),Diode Independent 40V 3A Surface Mount SMA(DO-214AC),YES,20,0.0287,0.57,2026-04-17,,
C2076769,CR0603-FX-27R0ELF,BOURNS,,0603,100mW 27Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,50,0.0176,0.88,2026-04-17,,
C5123587,HoAR0603-1/10W-5.1KR-0.1%-TCR25,Milliohm,,0603,100mW 5.1kΩ Ceramic Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,YES,10,0.0497,0.5,2026-04-17,,
C2981468,SHF680UF50V03EC1055,KNSCHA,,"Through Hole,D13xL17mm","680uF 50V Aluminum Electrolytic Capacitors Through Hole,D13xL17mm",YES,5,0.1798,0.9,2026-04-17,,
